num_topics,alpha0,alpha1,delta,umass,glove
100,0.1,0.049999999999999996,0.1,-8.232426059821906,0.4936773
100,0.1,0.05649154819548764,0.1,-9.81455292175348,0.46209365
100,0.1,0.06382590035046207,0.1,-10.17631438267777,0.4494321
100,0.1,0.0721124785153704,0.1,-8.608254248166638,0.5013409
100,0.1,0.08147491111094231,0.1,-7.054873437407855,0.53589493
100,0.1,0.09205287735493739,0.1,-8.213932727690839,0.52703273
100,0.1,0.10400419115259521,0.1,-6.864729627010037,0.5356641
100,0.1,0.11750715554059085,0.1,-7.513170674553594,0.5101714
100,0.1,0.13276322281071903,0.1,-6.2443407502266846,0.53521925
100,0.1,0.15,0.1,-7.004867308926502,0.53627294
